year,period,month,PS_month,CPI,inflation_CPI,inflation_PS,mdate
2008,M07,Jul,100.00080012903226,100,0.5251011128121874,NA,2008-07-01
2008,M08,Aug,100.18985483870968,99.60084377443582,-0.39915622556417896,0.18905319700790457,2008-08-01
2008,M09,Sep,100.15129713333333,99.46309396082995,-0.13830185406644713,-0.03848464042434108,2008-09-01
2008,M10,Oct,98.98385719354839,98.45838409921623,-1.010133328457874,-1.1656763049516017,2008-10-01
2008,M11,Nov,98.2948046,96.57262097434126,-1.9152895328595765,-0.6961262301599769,2008-11-01
2008,M12,Dec,97.25257270967742,95.57382117073703,-1.0342473814287434,-1.0603122866603476,2008-12-01
2009,M01,Jan,97.12670406451613,95.98979833063592,0.4352417375420803,-0.12942448888939584,2009-01-01
2009,M02,Feb,97.26390375,96.46714916986416,0.49729330359045143,0.1412584590461563,2009-02-01
2009,M03,Mar,97.38217677419355,96.70173301085633,0.24317484554157165,0.12160012053141767,2009-03-01
2009,M04,Apr,97.33765743333333,96.94313614955175,0.24963682777878748,-0.04571610774675161,2009-04-01
2009,M05,May,97.4863736451613,97.22318197523231,0.2888763834177466,0.15278384106358622,2009-05-01
2009,M06,Jun,97.46987563333333,98.05831863395828,0.8589892263953347,-0.01692340294451311,2009-06-01
2009,M07,Jul,97.53751822580645,97.90283864632394,-0.15855869221531593,0.06939845981499548,2009-07-01
2009,M08,Aug,97.62699641935484,98.12242003236894,0.2242850044810618,0.09173720551434172,2009-08-01
2009,M09,Sep,98.00125783333333,98.18379371169827,0.06254806934957724,0.38335852551567573,2009-09-01
2009,M10,Oct,98.48024106451614,98.27835463985015,0.09631011858182159,0.48875212601597884,2009-10-01
2009,M11,Nov,98.55634766666667,98.34791147642342,0.07077533687673832,0.07728108839688552,2009-11-01
2009,M12,Dec,98.5120084516129,98.1747013147606,-0.1761198169463407,-0.04498869540471295,2009-12-01
2010,M01,Jan,99.27629248387098,98.51021076176102,0.34174735701484327,0.7758282916680903,2010-01-01
2010,M02,Feb,99.52100360714286,98.53476023349276,0.024920738207656612,0.24649502630413878,2010-02-01
2010,M03,Mar,99.67912374193548,98.93937189721954,0.4106283536571276,0.1588811698651993,2010-03-01
2010,M04,Apr,99.79693123333334,99.11121819934169,0.1736884910697345,0.11818672453707268,2010-04-01
